Energy_MeV,Sr90_ProbabilityDensity,Y90_ProbabilityDensity,Total_ProbabilityDensity
0.001,2.4917146149131115,0.2774222908997622,2.7691369058128736
0.003301301301301301,2.491794527242532,0.27892075506993563,2.7707152823124677
0.005602602602602602,2.4918739620369887,0.280416977611027,2.7722909396480158
0.007903903903903903,2.492000839433721,0.28191522061179863,2.77391606004552
0.010205205205205205,2.4922419508670774,0.2834219638207114,2.775663914687789
0.012506506506506507,2.492653404387547,0.2849431301729162,2.777596534560463
0.014807807807807806,2.4932705406772686,0.2864828757706748,2.7797534164479436
0.017109109109109108,2.4941096761183594,0.2880435560356345,2.782153232153994
0.01941041041041041,2.4951730689106393,0.28962609771945513,2.784799166630094
0.021711711711711712,2.496453662247642,0.29123041548125495,2.7876840777288967
0.024013013013013014,2.4979387270656948,0.29285575750551934,2.7907944845712143
0.026314314314314313,2.4996124165521016,0.2945009620788008,2.7941133786309025
0.028615615615615615,2.5014574687643827,0.2961646377105825,2.7976221064749653
0.030916916916916917,2.503456299323567,0.29784528521580245,2.8013015845393694
0.033218218218218215,2.5055916761010133,0.2995413781406891,2.8051330542417023
0.03551951951951952,2.5078471146579346,0.30125141417187845,2.809098528829813
0.03782082082082082,2.5102070905505625,0.302973946703498,2.8131810372540604
0.04012212212212212,2.5126571336011705,0.30470760302144706,2.8173647366226175
0.04242342342342342,2.5151838476596,0.30645109357763856,2.8216349412372383
0.044724724724724725,2.5177748846962174,0.30820321542134715,2.8259781001175646
0.04702602602602603,2.520418892187498,0.30996285187714034,2.8303817440646384
0.04932732732732732,2.523105446148405,0.311728969884915,2.83483441603332
0.051628628628628624,2.5258249777636284,0.3135006159551869,2.839325593718815
0.053929929929929926,2.5285686986451346,0.31527691137635805,2.843845610021493
0.05623123123123123,2.531328527807054,0.3170570470945186,2.8483855749015725
0.05853253253253253,2.5340970221728947,0.3188402785389194,2.852937300711814
0.06083383383383383,2.5368673115955316,0.3206259205659924,2.857493232161524
0.06313513513513513,2.5396330388307438,0.32241334262683863,2.8620463814575823
0.06543643643643643,2.5423883045623095,0.32420196421739467,2.8665902687797042
0.06773773773773774,2.5451276173649755,0.32599125063997497,2.8711188680049506
0.07003903903903903,2.5478458483667548,0.3277807090848638,2.8756265574516187
0.07234034034034034,2.550538190304335,0.3295698850277682,2.880108075332103
0.07464164164164164,2.5532001206348323,0.33135835893093857,2.884558479565771
0.07694294294294293,2.5558273683602777,0.33314574323114077,2.8889731115914183
0.07924424424424424,2.5584158842291345,0.33493167959520675,2.8933475638243413
0.08154554554554554,2.5609618139956964,0.3367158364229693,2.897677650418666
0.08384684684684685,2.5634614744395727,0.3384979065774106,2.9019593810169835
0.08614814814814814,2.5659113318708946,0.34027760532247936,2.906188937193374
0.08844944944944945,2.5683079828708757,0.3420546684500519,2.9103626513209275
0.09075075075075074,2.570648137040664,0.34382885057869567,2.9144769876193597
0.09305205205205205,2.572928601553701,0.345599923608201,2.918528525161902
0.09535335335335335,2.5751462673274914,0.347367675315155,2.9225139426426465
0.09765465465465464,2.577298096649674,0.3491319080761002,2.9264300047257743
0.09995595595595595,2.579381112110708,0.3508924377060563,2.9302735498167642
0.10225725725725725,2.581392386711132,0.35264909240132,2.934041479112452
0.10455855855855856,2.583329035025461,0.35440171177651225,2.9377307468019733
0.10685985985985985,2.585188205317511,0.3561501459868392,2.94133835130435
0.10916116116116116,2.586967072513175,0.3578942549273998,2.9448613274405746
0.11146246246246246,2.588662831946836,0.35963390750219687,2.948296739449033
0.11376376376376375,2.5902726938065745,0.36136898095623443,2.951641674762809
0.11606506506506506,2.591793878211289,0.36309936026474715,2.954893238476036
0.11836636636636635,2.5932236108600737,0.36482493757420065,2.9580485484342742
0.12066766766766766,2.594559119200385,0.36654561169023897,2.9611047308906238
0.12296896896896896,2.5957976290672735,0.36826128760823207,2.964058916675506
0.12527027027027027,2.5969363617509007,0.3699718760825119,2.9669082378334126
0.12757157157157156,2.5979725314540207,0.3716772932307687,2.9696498246847893
0.12987287287287286,2.598903343105058,0.37337746017042484,2.972280803275483
0.13217417417417415,2.599725990495962,0.3750723026841245,2.9747982931800863
0.13447547547547548,2.600437654717131,0.3767617509117376,2.977199405628869
0.13677677677677677,2.6010355028644834,0.37844573906655,2.9794812419310333
0.13907807807807807,2.601516686996314,0.38012420517351375,2.981640892169828
0.14137937937937936,2.6018783433196995,0.38179709082764834,2.9836754341473477
0.14368068068068068,2.602117591588313,0.38346434097086285,2.9855819325591755
0.14598198198198198,2.6022315346951954,0.3851259036856186,2.987357438380814
0.14828328328328327,2.6022172584456875,0.3867817300040223,2.9889989884497097
0.15058458458458457,2.602071831497105,0.38843177373104276,2.990503605228148
0.15288588588588586,2.601792305453062,0.3900759912806871,2.9918682967337493
0.1551871871871872,2.6013757151014416,0.39171434152406764,2.993090056625509
0.15748848848848848,2.600819078786093,0.3933467856483833,2.9941658644344766
0.15978978978978978,2.6001193989032263,0.39497328702594076,2.995092685929167
0.16209109109109107,2.5992736625143085,0.39659381109239955,2.995867473606708
0.1643923923923924,2.5982788420680425,0.3982083252335165,2.996487167301559
0.1666936936936937,2.5971318962246426,0.3998167986797122,2.9969486949043547
0.16899499499499498,2.5958297707762714,0.40141920240785106,2.9972489731841225
0.17129629629629628,2.594369399658022,0.403015509049673,2.997384908707695
0.17359759759759757,2.5927477060443374,0.4046056928063693,2.9973533988507066
0.1758988988988989,2.5909616035261993,0.40618972936882625,2.9971513328950254
0.1782002002002002,2.589007997364862,0.4077675958431162,2.9967755932079783
0.1805015015015015,2.5868837858181997,0.40933927068083564,2.9962230564990353
0.18280280280280278,2.58458586153615,0.41090473361393515,2.9954905951500854
0.1851041041041041,2.5821111130219987,0.4124639655937016,2.9945750786157004
0.1874054054054054,2.579456426156503,0.41401694873359896,2.993473374890102
0.1897067067067067,2.5766186857821722,0.4155636662556762,2.9921823520378483
0.192008008008008,2.573594777345165,0.4171041024402956,2.9906988797854606
0.19430930930930929,2.5703815885925296,0.41863824257893356,2.989019831171463
0.1966106106106106,2.566976011322697,0.4201660729298456,2.9871420842525427
0.1989119119119119,2.5633749431872515,0.4216875806763872,2.985062523863639
0.2012132132132132,2.5595752895422597,0.423202753887805,2.9827780434300646
0.2035145145145145,2.555573965347464,0.4247115814823331,2.9802855468297973
0.2058158158158158,2.5513678971118883,0.4262140531924277,2.977581950304316
0.2081171171171171,2.5469540248844402,0.42771015953200037,2.9746641844164405
0.2104184184184184,2.5423293042882404,0.4291998917655091,2.9715291960537495
0.2127197197197197,2.537490708597519,0.43068324187878615,2.968173950476305
0.215021021021021,2.532435230855966,0.43216020255148646,2.9645954334074522
0.21732232232232232,2.5271598860355597,0.43363076713104387,2.9607906531666037
0.21962362362362362,2.5216617132349524,0.435094929608044,2.9567566428429966
0.2219249249249249,2.5159377779165135,0.43655268459291374,2.9524904625094273
0.2242262262262262,2.509985174181322,0.4380040272938452,2.9479892014751674
0.2265275275275275,2.503801027081289,0.4394489534958764,2.9432499805771655
0.22882882882882882,2.497382494967804,0.440887459541048,2.938269954508852
0.23113013013013012,2.4907267718762522,0.4423195423095779,2.9330463141858303
0.2334314314314314,2.4838310899458156,0.4437451992019782,2.927576289147794
0.2357327327327327,2.476692721874045,0.4451644281220627,2.9218571499961077
0.23803403403403403,2.4693089834056865,0.44657722746078804,2.9158862108664745
0.24033533533533533,2.4616772358553134,0.4479835960808766,2.90966083193619
0.24263663663663662,2.4537948886633267,0.44938353330217085,2.9031784219654977
0.24493793793793792,2.4456594019849445,0.45077703888767884,2.8964364408726233
0.2472392392392392,2.4372682893117865,0.45216411303026477,2.8894324023420515
0.24954054054054053,2.428619120125734,0.45354475633994873,2.882163876465683
0.25184184184184183,2.419709522584739,0.45491896983177826,2.8746284924165173
0.2541431431431431,2.410537186240285,0.4562867549142356,2.8668239411545207
0.2564444444444444,2.4010998647862287,0.4576481133781546,2.8587479781643834
0.2587457457457457,2.391395378838761,0.4590030473861096,2.8503984262248707
0.261047047047047,2.3814216187472614,0.4603515594622558,2.8417731782095172
0.2633483483483483,2.3711765474358177,0.46169365248259164,2.8328701999184096
