-0.0001943	6.7e-05	9.5e-06
-0.0001809	6.7e-05	9.5e-06
-0.0001675	6.7e-05	9.5e-06
-0.0001541	6.7e-05	9.5e-06
-0.0001407	6.7e-05	9.5e-06
-0.0001273	6.7e-05	9.5e-06
-0.0001139	6.7e-05	9.5e-06
-0.0001005	6.7e-05	9.5e-06
-8.71e-05	6.7e-05	9.5e-06
-7.37e-05	6.7e-05	9.5e-06
-6.03e-05	6.7e-05	9.5e-06
-4.69e-05	6.7e-05	9.5e-06
-3.35e-05	6.7e-05	9.5e-06
-2.01e-05	6.7e-05	9.5e-06
-6.7e-06	6.7e-05	9.5e-06
6.7e-06	6.7e-05	9.5e-06
2.01e-05	6.7e-05	9.5e-06
3.35e-05	6.7e-05	9.5e-06
4.69e-05	6.7e-05	9.5e-06
6.03e-05	6.7e-05	9.5e-06
7.37e-05	6.7e-05	9.5e-06
8.71e-05	6.7e-05	9.5e-06
0.0001005	6.7e-05	9.5e-06
0.0001139	6.7e-05	9.5e-06
0.0001273	6.7e-05	9.5e-06
0.0001407	6.7e-05	9.5e-06
0.0001541	6.7e-05	9.5e-06
0.0001675	6.7e-05	9.5e-06
0.0001809	6.7e-05	9.5e-06
0.0001943	6.7e-05	9.5e-06
